Expected_Bytes,Actual_Bytes,Bitrate_Deviation_Percent,Duration_of_Experiment,Bitrate,Framerate,Resolution,Bitrate_Control,IDR_Interval,Codec,Stream
37500,18175,-51.53,1,300000,15,RESOLUTION_640X360,BITRATE_CONTROL_CONSTANT,TWO,H265,CAMERA_PRIMARY_LOW_RES
18750,8071,-56.95,1,150000,15,RESOLUTION_640X360,BITRATE_CONTROL_CONSTANT,TWO,H265,CAMERA_SECONDARY_LOW_RES
437500,162594,-62.84,1,3500000,30,RESOLUTION_2560X1440,BITRATE_CONTROL_CONSTANT,TWO,H265,CAMERA_PRIMARY
187500,110619,-41.0,1,1500000,15,RESOLUTION_1920X1080,BITRATE_CONTROL_CONSTANT,TWO,H265,CAMERA_SECONDARY
37500,18346,-51.08,1,300000,15,RESOLUTION_640X360,BITRATE_CONTROL_CONSTANT,TWO,H265,CAMERA_PRIMARY_LOW_RES
18750,8541,-54.45,1,150000,15,RESOLUTION_640X360,BITRATE_CONTROL_CONSTANT,TWO,H265,CAMERA_SECONDARY_LOW_RES
437500,327467,-25.15,1,3500000,30,RESOLUTION_2560X1440,BITRATE_CONTROL_CONSTANT,TWO,H265,CAMERA_PRIMARY
187500,97231,-48.14,1,1500000,15,RESOLUTION_1920X1080,BITRATE_CONTROL_CONSTANT,TWO,H265,CAMERA_SECONDARY
37500,17303,-53.86,1,300000,15,RESOLUTION_640X360,BITRATE_CONTROL_CONSTANT,TWO,H265,CAMERA_PRIMARY_LOW_RES
18750,9719,-48.17,1,150000,15,RESOLUTION_640X360,BITRATE_CONTROL_CONSTANT,TWO,H265,CAMERA_SECONDARY_LOW_RES
437500,326396,-25.4,1,3500000,30,RESOLUTION_2560X1440,BITRATE_CONTROL_CONSTANT,TWO,H265,CAMERA_PRIMARY
187500,110960,-40.82,1,1500000,15,RESOLUTION_1920X1080,BITRATE_CONTROL_CONSTANT,TWO,H265,CAMERA_SECONDARY
37500,19436,-48.17,1,300000,15,RESOLUTION_640X360,BITRATE_CONTROL_CONSTANT,TWO,H265,CAMERA_PRIMARY_LOW_RES
